StateCode_residence;StateCode_work;Workers in Commuting Flow; Margin of Error
AL;AL;8828;752
AL;AL;6;10
AL;AL;504;228
AL;AL;27;44
AL;AL;296;130
AL;AL;2186;486
AL;AL;14;23
AL;AL;271;142
AL;AL;8;16
AL;AL;79;108
AL;AL;97;68
AL;AL;31;52
AL;AL;17;28
AL;AL;49;71
AL;AL;11306;843
AL;AL;8;12
AL;AL;96;51
AL;AL;7;11
AL;AL;20;33
AL;AL;10;14
AL;AL;33;37
AL;FL;17;27
AL;FL;5;8
AL;GA;71;76
AL;GA;22;34
AL;GA;15;23
AL;LA;9;14
AL;LA;23;35
AL;LA;11;16
AL;MN;7;12
AL;MS;5;8
AL;MO;11;16
AL;TN;7;10
AL;TN;17;28
AL;#N/A;7;13
AL;AL;60659;1865
AL;AL;9;14
AL;AL;29;45
AL;AL;25;38
AL;AL;8;17
AL;AL;21;45
AL;AL;11;20
AL;AL;32;48
AL;AL;15;26
AL;AL;748;244
AL;AL;121;101
AL;AL;32;43
AL;AL;24;40
AL;AL;39;65
AL;AL;25;41
AL;AL;16350;1138
AL;AL;36;33
AL;AL;177;135
AL;AL;32;66
AL;AL;4;6
AL;AL;96;64
AL;AL;128;91
AL;AK;12;19
AL;AZ;30;47
AL;AR;4;6
AL;CA;10;17
AL;CA;23;38
AL;CA;81;78
AL;DC;167;182
AL;FL;20;29
AL;FL;3193;591
AL;FL;22;43
AL;FL;14;22
AL;FL;111;86
AL;FL;13;20
AL;FL;102;68
AL;GA;18;28
AL;GA;3;5
AL;GA;111;112
AL;GA;16;26
AL;GA;27;43
AL;GA;26;39
AL;GA;15;25
AL;GA;35;58
AL;IL;16;26
AL;IL;11;17
AL;IN;48;57
AL;IA;25;41
AL;KS;21;35
AL;LA;10;17
AL;LA;52;76
AL;LA;12;19
AL;LA;114;107
AL;LA;29;28
AL;LA;40;40
AL;LA;108;76
AL;ME;33;35
AL;MD;9;14
AL;MD;5;7
AL;MA;105;63
AL;MN;20;32
AL;MS;4;7
AL;MS;139;109
AL;MS;421;233
AL;MS;31;51
AL;MS;11;18
AL;MS;26;38
AL;MS;13;22
AL;MS;13;20
AL;MS;9;15
AL;MS;19;29
AL;NJ;17;29
AL;NY;1;4
