"","TO-AL","TO-AZ","TO-AR","TO-CA","TO-CO","TO-CT","TO-DE","TO-DC","TO-FL","TO-GA","TO-ID","TO-IL","TO-IN","TO-IA","TO-KS","TO-KY","TO-LA","TO-ME","TO-MD","TO-MA","TO-MI","TO-MN","TO-MS","TO-MO","TO-MT","TO-NE","TO-NV","TO-NH","TO-NJ","TO-NM","TO-NY","TO-NC","TO-ND","TO-OH","TO-OK","TO-OR","TO-PA","TO-RI","TO-SC","TO-SD","TO-TN","TO-TX","TO-UT","TO-VT","TO-VA","TO-WA","TO-WV","TO-WI","TO-WY","TO-AK","TO-HI"
"FROM-AL",0,0.00196251314556492,0.0219259209431561,0.00615968890062245,0.00211900654608106,0.00151858884297164,0.00058985993605306,0.0012430954243642,0.0936618070720935,0.273886989338601,0.000180520906369992,0.0199609767787301,0.0166845775093094,0.0025371809976311,0.00302587469483545,0.0375780403348457,0.0424928260929579,0.000243431425823004,0.00583827107657719,0.00243771620419268,0.0095151941362417,0.00226594833039576,0.12148195913421,0.0189447875880761,0.000145723028246512,0.00102949032773986,0.00146222296533419,0.000332109533502276,0.00375576383721098,0.000706640857764649,0.00845569192418669,0.0368010363902849,8.66742772733113e-05,0.0145282881411635,0.00593044901412742,0.000386886579176404,0.00849497992121712,0.00030695948147414,0.0219894673380762,0.000216610728758535,0.140147665276994,0.0429671836139267,0.000869664410001991,0.000150006146518002,0.0149066318235947,0.00127553861608854,0.00390706888676123,0.00423673124681738,7.96641353834595e-05,0.000195319791214425,0.000380756347459167
"FROM-AZ",0.0012880278922748,0,0.00507527529917322,0.330082083844345,0.0573044891939644,0.00206197031129117,0.000430205242749842,0.00117615484936793,0.0116867098827193,0.00534135330158262,0.0110297713229412,0.0172088584822703,0.00413056970125622,0.00436685647630164,0.0133381617046847,0.00187364106198705,0.00496153063020309,0.000576445284691306,0.00427447835533463,0.00434185142204805,0.00732062686925638,0.00842028209615733,0.00320161040377051,0.0128165709397246,0.00454265920534163,0.00825796024156502,0.100226676884075,0.000957373184451364,0.00508988618420376,0.0980819943446568,0.010884232822082,0.00422925073761537,0.00168908424395111,0.00631996022733136,0.0138008666010893,0.00830256674558819,0.0074025224594697,0.000801142079055161,0.00106727413752912,0.00379325136511695,0.00360992732530088,0.111664887688561,0.058366054165886,0.000374114628171263,0.00441646847559405,0.016471468561943,0.000395828689353524,0.00470353805375196,0.00647886059230288,0.00173956727904874,0.00402505850886985
"FROM-AR",0.0310705530138344,0.0103028029455841,0,0.0157635339057225,0.00635374921264792,0.000731349654356327,0.000238518985889642,0.000773815228785075,0.0222250914313609,0.0216932909471277,0.000200638357814391,0.0346929045160734,0.0141439371963538,0.0100786830786165,0.0332032196698183,0.0196174372359663,0.0649009252513172,0.000184443349582441,0.00312220730855922,0.00138584678200833,0.00915919060072902,0.00707545688678129,0.0736634139750896,0.139716179569404,0.000171918724774189,0.00606823402894381,0.00248037217636799,0.000196870800042167,0.00136318292237475,0.0040431141914896,0.00615986311779467,0.0097366939836161,0.000303030817712886,0.0106017218580624,0.107571897278205,0.000455598962648508,0.00439337185655711,0.000146194069961309,0.00447628497060048,0.00151332088398409,0.0707533255762309,0.233376567402378,0.000843891181590806,7.28433392319516e-05,0.00393855972869505,0.00135259151985074,0.00107868142510264,0.00767752616385387,0.000288078740610748,0.000228942147519792,0.000410133028377703
"FROM-CA",0.00207076957636999,0.160125983722964,0.00380552081696727,0,0.0414682096627659,0.00439094661968072,0.000743978277769565,0.00263441206975036,0.0238595373505981,0.0111050298473428,0.026251209060284,0.0241339601643595,0.00520622346998717,0.00456878071370307,0.0118711468444042,0.00311038310921579,0.0055061570172826,0.000970629932171632,0.00760150602943976,0.0128140929050453,0.00865506818093584,0.0098026089903502,0.00248524861027753,0.011609307088069,0.0126125486642721,0.0101911069894167,0.157221973134575,0.00134176537975783,0.010561440360399,0.0234933489849338,0.0328901144627829,0.00776953865120715,0.00203102009330165,0.00786500442750863,0.01253347189147,0.0548265106123052,0.0120232659881759,0.00108158796803498,0.00207735226396827,0.00398199527865087,0.00557487036773717,0.0808867391244804,0.0610176738831341,0.000724779768805139,0.0138542586540014,0.0605529537049893,0.000768328144980515,0.00497669478160156,0.0101621797933244,0.00401928002025973,0.0201694865461919
"FROM-CO",0.00198214573601491,0.0785980226982378,0.00425957398173451,0.116754813572312,0,0.00246603033217532,0.000564783879567316,0.00257870861589274,0.0239178908128737,0.00965619940651313,0.0114804675275501,0.0251364595661803,0.00651949725080832,0.0119527251319836,0.0586073768932621,0.00311694482751821,0.00381097327125723,0.000848231585861325,0.00656125324003894,0.00725612434611447,0.00776768955409374,0.0156282268620343,0.00111514878234034,0.021161775622855,0.0128327811194027,0.0740770542048091,0.0274265488577274,0.000901932859931058,0.00561233446398226,0.0739678356325469,0.0152615396453826,0.0059337711143115,0.00611283949319407,0.00776946051277068,0.0180968358388125,0.0060433599030951,0.0086259861991468,0.000550253852509742,0.00186807499136961,0.0230788442037067,0.00566660582724072,0.1033011895292,0.0689466690578478,0.000638023175787926,0.00913701451236327,0.0153489433313359,0.00054983182981547,0.00765087377141399,0.0728056673915831,0.00227121618813319,0.00378344899536108
"FROM-CT",0.00201600578407789,0.00394295322128288,0.000651699173780817,0.0169885845376671,0.00353423565479177,0,0.0049566207509307,0.00603426820282631,0.0443315297371597,0.0102413403516634,0.000282906213479544,0.0122444855408957,0.00500280890625326,0.00117396910190178,0.000571226735758927,0.00484827194622078,0.00160612553053235,0.0261909389376178,0.0246815985851582,0.180985156837006,0.00757530130490775,0.00290789045392563,0.000725255076293399,0.00310696394893417,0.000348632769164494,0.000500372923324556,0.00403515394776391,0.0410126798146806,0.118363801149455,0.00076038544625143,0.242713571938249,0.015424812698293,0.000102567348139626,0.0108527447609747,0.00071961705261458,0.000779552831190302,0.0905650284604669,0.0212730984721456,0.00439231783847505,0.000156051461435892,0.00470569875960758,0.00797008287747199,0.00166618280304329,0.0268689751389931,0.0295797152966346,0.00237142286019732,0.00566074133814302,0.00330156761551342,0.000209790735448435,0.000221015409223465,0.000844281720033196
"FROM-DE",0.00302181324673163,0.00321939468456783,0.000817968781486417,0.0111693549230491,0.00311569775805269,0.0194169509958534,0,0.0281422779482063,0.0252876618863576,0.0118376920511557,0.000302440685215222,0.00982761265566836,0.00607953896914428,0.00106076778309688,0.00070163648090365,0.00623335345596704,0.00159938860571562,0.00661557516238732,0.121085835126641,0.024684287752692,0.00901852636069105,0.00234139148186339,0.0010850434965141,0.0039578465988079,0.000198357993824573,0.000532710365583483,0.00219558593688924,0.00560428627835298,0.113191443822107,0.000662962688475122,0.158306748130267,0.0336633174597909,7.41744658928345e-05,0.0176779646305704,0.000920123415100675,0.000710060555264232,0.147122939162408,0.00455159238010825,0.0055415430770594,9.17379259785863e-05,0.00623998291187799,0.00976892962264308,0.00117217643858656,0.00413020807562006,0.165530357658406,0.00210193583916865,0.0154256060841414,0.00315476366669829,9.26229018365825e-05,0.000167791172262695,0.000548020450317918
"FROM-DC",0.00577242443849057,0.00754204940143865,0.00229295889182892,0.0343110238024827,0.0122074861790336,0.0172951949801166,0.0218257110972016,0,0.0609797460784567,0.028455935990006,0.00106315031241201,0.029409655550207,0.00904096145047161,0.00322657002845526,0.00236845841833727,0.00782539954935446,0.00602493733092119,0.00468934724746798,0.0343798411697025,0.031456539151482,0.0163922061394134,0.00908323941460861,0.00339607639007524,0.0108605237400369,0.00104898483989532,0.00298558429699983,0.0054356243088779,0.00396640042976706,0.0666690935590886,0.00249023779770806,0.156139292043091,0.0432519052040699,0.000604895686605224,0.0179630720042769,0.00303737484652386,0.00219220515382664,0.123780800418761,0.00454616080158815,0.0103248358691776,0.000866590728909999,0.00967180254000629,0.0305437758954525,0.00410756003414733,0.00299275287088622,0.112025901954424,0.00797222686303088,0.0155898735281069,0.00804114487966127,0.000327390993809402,0.00138310872990224,0.00214196696940485
"FROM-FL",0.0446028848660456,0.00797079561337888,0.00745259408845825,0.0329335565988262,0.0118166715120429,0.0154557329693849,0.00230875401411245,0.00628715595050715,0,0.186753673308213,0.000923262839081952,0.0415293438243697,0.0193022219586772,0.00335867587651006,0.00310940838752999,0.0188898301973441,0.0184937840316758,0.00370005521433075,0.0229749765899599,0.0276258177163531,0.02742987464147,0.0119360043948858,0.0213659193264984,0.0172441643831005,0.000766411008075561,0.00226735093023903,0.00816326189292025,0.00477665163729072,0.0355884480738396,0.0020819512822732,0.0900456497748322,0.0443235999089049,0.000535665183458671,0.027647408456502,0.00458674985658318,0.00224185706307499,0.0416785081466816,0.00460816067170589,0.0299761014857916,0.000828024606558628,0.0269748254105731,0.0480442256150871,0.00429545248025849,0.00242686301377396,0.0392179730536929,0.00702363314271831,0.00616189067748871,0.00964851747399794,0.000273387457544828,0.000840063956498917,0.00151220943687769
"FROM-GA",0.135903047622517,0.00374565883006161,0.00748006883164497,0.0153118020337995,0.00487528196629217,0.00369816875837491,0.00112091554812429,0.0030429030542979,0.188731423613151,0,0.000405125576916792,0.0195750998975957,0.0127258516065458,0.00217436084909959,0.00266280810481781,0.0277344561557377,0.0134001777143134,0.000823143965433737,0.0106269111934533,0.00833829925328075,0.0124461776532472,0.00439356309721686,0.0221882685117825,0.0117663959958492,0.000413347435058843,0.000986758655794596,0.00368673174063219,0.000645243183661079,0.0101427282788368,0.000713707737001115,0.0242823829937093,0.118687781426305,0.000164098175373827,0.0176894793703197,0.00326970396556923,0.000809074863698023,0.0164622914433261,0.00060362430097816,0.117402096879245,0.000331598008701114,0.090881513233801,0.0300169510130529,0.00206736458792168,0.000465865637981823,0.0313170486868006,0.00304002232693525,0.00572710257173699,0.00541199003690851,0.000163746663338675,0.000416182442611776,0.00103165450714629
