"","x"
"AL",0.681165441925031
"AZ",0.630260430228706
"AR",0.686884298913343
"CA",0.538663492573268
"CO",0.634507152479204
"CT",0.602317851475827
"DE",0.639489615979566
"DC",0.737271763924662
"FL",0.641491142048734
"GA",0.714401882478176
"ID",0.64664829069834
"IL",0.625366150772159
"IN",0.651684654847151
"IA",0.633197123273851
"KS",0.614028949198128
"KY",0.67014894218367
"LA",0.660514345478847
"ME",0.642658086618053
"MD",0.62876306273027
"MA",0.599644637048092
"MI",0.564732099981414
"MN",0.596463248834258
"MS",0.715847063158332
"MO",0.609808116624402
"MT",0.665675470656584
"NE",0.666937915415626
"NV",0.615130312167715
"NH",0.600453814082559
"NJ",0.604228020919337
"NM",0.652874320996277
"NY",0.606255334197156
"NC",0.665371657560691
"ND",0.698347018417101
"OH",0.613487507796863
"OK",0.66702581063085
"OR",0.620536179106142
"PA",0.619343493587099
"RI",0.577679821069456
"SC",0.704199988927221
"SD",0.697140042782766
"TN",0.660389062072177
"TX",0.645064629574442
"UT",0.663410196136811
"VT",0.677945902824953
"VA",0.666441445485164
"WA",0.574037547410198
"WV",0.726988399713766
"WI",0.59198578903944
"WY",0.655377665403916
"AK",0.617927050825183
"HI",0.52428143097834
